NHLid,Last Name,First Name,Position,Team
8476805,Abbott,Spencer,LW,CHI
8471716,Abdelkader,Justin,LW/RW,DET
8476857,Aberg,Pontus,LW,NSH
8478569,Acciari,Noel,C,BOS
8475844,Agostino,Kenny,LW,STL
8478427,Aho,Sebastian,RW/LW,CAR
8473991,Alzner,Karl,D,WSH
8476981,Anderson,Josh,RW,CBJ
8478397,Andersson,Rasmus,D,CGY
8476404,Andreoff,Andy,LW/C,L.A
8477413,Andrighetto,Sven,RW,COL/MTL
8473573,Anisimov,Artem,C/LW,CHI
8476326,Archibald,Josh,RW,PIT
8476469,Armia,Joel,RW,WPG
8478042,Arvidsson,Viktor,LW/RW,NSH
8476960,Athanasiou,Andreas,C,DET
8474715,Atkinson,Cam,RW,CBJ
8477041,Austin,Brady,D,BUF
8479483,Auvitu,Yohann,D/LW,N.J
8470655,Backes,David,RW/C,BOS
8474150,Backlund,Mikael,C,CGY
8473563,Backstrom,Nicklas,C,WSH
8476466,Baertschi,Sven,LW,VAN
8478376,Bailey,Casey,RW/C,OTT
8474573,Bailey,Josh,RW/LW/C,NYI
8477473,Bailey,Justin,RW,BUF
8477491,Baptiste,Nicholas,RW,BUF
8477964,Barbashev,Ivan,C,STL
8477003,Barber,Riley,RW,WSH
8474717,Barberio,Mark,D,COL/MTL
8477493,Barkov,Aleksander,C,FLA
8475197,Barrie,Tyson,D,COL
8474749,Bartkowski,Matt,D,CGY
8478445,Barzal,Mathew,C,NYI
8471760,Bass,Cody,C,NSH
8474291,Beagle,Jay,C/RW,WSH
8467400,Beauchemin,Francois,D,COL
8476470,Beaulieu,Nathan,D,MTL
8478463,Beauvillier,Anthony,C/LW,NYI
8475192,Beck,Taylor,LW,EDM/NYR
8473492,Beleskey,Matt,LW,BOS
8477930,Bellemare,Pierre-Edouard,LW/C,PHI
8473994,Benn,Jamie,LW,DAL
8474818,Benn,Jordie,D,DAL/MTL
8475761,Bennett,Beau,RW/LW,N.J
8477935,Bennett,Sam,C,CGY
8476988,Benning,Matthew,D,EDM
8470638,Bergeron,Patrice,C,BOS
8473534,Berglund,Patrik,C/LW,STL
8477006,Bertschy,Christoph,C,MIN
8477479,Bertuzzi,Tyler,LW,DET
8471254,Bickell,Bryan,LW,CAR
8473415,Biega,Alex,D,VAN
8469598,Bieksa,Kevin,D,ANA
8475868,Bitetto,Anthony,D,NSH
8477416,Bjorkstrand,Oliver,RW,CBJ
8475760,Bjugstad,Nick,C,FLA
8477010,Blandisi,Joseph,LW/C,N.J
8477320,Blidh,Anton,LW,BOS
8471663,Blunden,Mike,RW,OTT
8474571,Boedker,Mikkel,LW/RW,S.J
8478444,Boeser,Brock,RW,VAN
8474567,Bogosian,Zach,D,BUF
8471766,Boll,Jared,RW,ANA
8474009,Bonino,Nick,C,PIT
8474697,Borowiecki,Mark,D,OTT
8474145,Bortuzzo,Robert,D,STL
8476423,Boucher,Reid,C/LW,N.J/NSH/VAN
8474642,Bouma,Lance,C/LW/RW,CGY
8475739,Bournival,Michael,LW,T.B
8475268,Bourque,Gabriel,LW/RW,COL
8471504,Bourque,Rene,RW/LW,COL
8470151,Bouwmeester,Jay,D,STL
8470187,Boychuk,Johnny,D,NYI
8470619,Boyle,Brian,C/LW,T.B/TOR
8475098,Bozak,Tyler,C,TOR
8473544,Brassard,Derick,C,OTT
8474027,Braun,Justin,D,S.J
8474673,Brodie,T.J.,D,CGY
8476463,Brodin,Jonas,D,MIN
8470803,Brodziak,Kyle,C,STL
8477380,Brodzinski,Jonny,C,L.A
8471426,Brouwer,Troy,RW,CGY
8477015,Brown,Connor,RW,TOR
8470606,Brown,Dustin,RW/LW,L.A
8476806,Brown,J.T.,RW,T.B
8477887,Brown,Patrick,C,CAR
8477402,Buchnevich,Pavel,RW/LW,NYR
8477444,Burakovsky,Andre,LW/C,WSH
8475982,Burgdoerfer,Erik,D,BUF
8475788,Burmistrov,Alex,C/RW,ARI/WPG
8470613,Burns,Brent,D/RW,S.J
8470358,Burrows,Alex,LW/RW,OTT/VAN
8471761,Butler,Chris,D,STL
8470834,Byfuglien,Dustin,D/RW,WPG
8474038,Byron,Paul,LW/C/RW,MTL
8479465,Caggiula,Drake,LW/C,EDM
8475296,Callahan,Mitch,RW,DET
8471339,Callahan,Ryan,RW,T.B
8474685,Calvert,Matt,LW,CBJ
8469500,Cammalleri,Mike,LW/C,N.J
8466285,Campbell,Brian,D,CHI
8476219,Cannone,Patrick,C,MIN
8474008,Carey,Paul,C,WSH
8470640,Carle,Matt,D,NSH
8478443,Carlo,Brandon,D,BOS
8474590,Carlson,John,D,WSH
8478506,Carlsson,Gabriel,D,CBJ
8477846,Carpenter,Ryan,C,S.J
8477901,Carr,Daniel,LW,MTL
8476941,Carrick,Connor,D,TOR
8478851,Carrier,Alex,D,NSH
8477478,Carrier,William,LW,BUF
8470604,Carter,Jeff,C/RW,L.A
8476879,Ceci,Cody,D,OTT
8477417,Cehlarik,Peter,LW/RW,BOS
8478469,Chabot,Thomas,D,OTT
8475808,Chaput,Michael,C,VAN
8465009,Chara,Zdeno,D,BOS
8475279,Chiarot,Ben,D,WPG
8475163,Chiasson,Alex,RW,CGY
8466251,Chimera,Jason,LW/RW,NYI
8471710,Chorney,Taylor,D,WSH
8479345,Chychrun,Jakob,D,ARI
8475231,Cizikas,Casey,C,NYI
8476368,Claesson,Fredrik,D,OTT
8476431,Clendening,Adam,D,NYR
8475160,Clifford,Kyle,LW/C,L.A
8473504,Clutterbuck,Cal,RW,NYI
8470601,Coburn,Braydon,D,T.B
8471699,Cogliano,Andrew,LW/C/RW,ANA
8474577,Colborne,Joe,C/LW/RW,COL
8474013,Cole,Ian,D,PIT
8476399,Coleman,Blake,C/LW,N.J
8471260,Comeau,Blake,LW/RW,COL
8477456,Compher,J.T.,LW/C,COL
8476195,Conacher,Cory,C/LW,T.B
8473588,Condra,Erik,RW,T.B
8475246,Connauton,Kevin,D,ARI
8475792,Connolly,Brett,RW/LW,WSH
8478398,Connor,Kyle,LW,WPG
8477429,Copp,Andrew,C,WPG
8476302,Corrado,Frank,D,PIT/TOR
8476393,Cousins,Nick,C/LW,PHI
8474053,Couture,Logan,C/LW,S.J
8476461,Couturier,Sean,C,PHI
8475745,Coyle,Charlie,C/RW,MIN
8471490,Cracknell,Adam,RW/C,DAL
8476390,Cramarossa,Joseph,C/LW,ANA/VAN
8471675,Crosby,Sidney,C,PIT
8478474,Crouse,Lawson,LW,ARI
8464989,Cullen,Matt,C/LW,PIT
8478512,Czarnik,Austin,C,BOS
8476403,Dahlbeck,Klas,D,CAR
8470110,Daley,Trevor,D,PIT
8474610,Dalpe,Zac,C,MIN
8476479,Danault,Phillip,LW/C,MTL
8477448,Dano,Marko,C/LW/RW,WPG
8477460,Dauphin,Laurent,C,ARI
8475869,Davidson,Brandon,D,EDM/MTL
8475177,de Haan,Calvin,D,NYI
8477455,De la Rose,Jacob,LW,MTL
8477520,Dea,Jean-Sebastien,C,PIT
8477950,Deangelo,Anthony,D,ARI
8477215,DeKeyser,Danny,D,DET
8474584,Del Zotto,Michael,D,PHI
8476331,Demelo,Dylan,D,S.J
8474218,Demers,Jason,D,FLA
8471976,Desharnais,David,C,EDM/MTL
8471956,Desjardins,Andrew,LW/C,CHI
8475235,Deslauriers,Nicolas,LW,BUF
8475155,Despres,Simon,D,ANA
8476858,Di Giuseppe,Phillip,LW,CAR
8477450,Dickinson,Jason,C,DAL
8474018,Didomenico,Chris,C/RW,OTT
8475455,Dillon,Brenden,D,S.J
8462038,Doan,Shane,RW/LW,ARI
8477503,Domi,Max,LW/C,ARI
8475820,Donskoi,Joonas,RW,S.J
8473432,Dorsett,Derek,RW,VAN
8477009,Dotchin,Jake,D,T.B
8474563,Doughty,Drew,D,L.A
8475343,Dowd,Nic,C,L.A
8475413,Dowling,Justin,C,DAL
8477934,Draisaitl,Leon,C,EDM
8477494,Drouin,Jonathan,LW,T.B
8471273,Dubinsky,Brandon,C/LW,CBJ
8475168,Duchene,Matt,C/LW,COL
8477407,Duclair,Anthony,LW/RW,ARI
8476856,Dumba,Matt,D,MIN
8475254,Dumont,Gabriel,C,T.B
8475208,Dumoulin,Brian,D,PIT
8477989,Dvorak,Christian,C/LW,ARI
8476288,Dzingel,Ryan,LW/RW/C,OTT
8475236,Eakin,Cody,C,DAL
8470622,Eaves,Patrick,RW/LW,ANA/DAL
8474586,Eberle,Jordan,RW/C,EDM
8471303,Edler,Alex,D,VAN
8476441,Edmundson,Joel,D,STL
8477940,Ehlers,Nikolaj,LW,WPG
8478403,Eichel,Jack,C,BUF
8477932,Ekblad,Aaron,D,FLA
8475218,Ekholm,Mattias,D,NSH
8475171,Ekman-Larsson,Oliver,D,ARI
8477461,Elie,Remi,LW,DAL
8474189,Eller,Lars,C/LW/RW,WSH
8475176,Ellis,Ryan,D,NSH
8471296,Emelin,Alexei,D,MTL
8468674,Engelland,Deryk,D,CGY
8477971,Englund,Andreas,D,OTT
8474589,Ennis,Tyler,LW/C/RW,BUF
8470828,Enstrom,Tobias,D,WPG
8470318,Ericsson,Jonathan,D,DET
8470626,Eriksson,Loui,LW/C,VAN
8478493,Eriksson Ek,Joel,C/RW/LW,MIN
8477454,Erne,Adam,LW,T.B
8475770,Etem,Emerson,LW/RW,ANA
8477952,Fabbri,Robby,C/LW,STL
8476889,Faksa,Radek,C,DAL
8473992,Falk,Justin,D,BUF
8476769,Farnham,Bobby,RW,MTL
8477392,Fasching,Hudson,RW,BUF
8475855,Fast,Jesper,RW/LW,NYR
8475753,Faulk,Justin,D,CAR
8471816,Fayne,Mark,D,EDM
8476166,Fedun,Taylor,D,BUF
8470611,Fehr,Eric,C/RW,PIT/TOR
8475907,Ferland,Micheal,LW/RW,CGY
8477942,Fiala,Kevin,LW,NSH
8469759,Fiddler,Vernon,C/LW,N.J/NSH
8470047,Filppula,Valtteri,C/LW,PHI/T.B
8478432,Fischer,Christian,RW,ARI
8467370,Fisher,Mike,C,NSH
8476808,Flynn,Brian,C/RW,MTL
8475220,Foligno,Marcus,LW,BUF
8473422,Foligno,Nick,LW/RW,CBJ
8477850,Folin,Christian,D,MIN
8475762,Forbort,Derek,D,L.A
8478417,Forsbacka Karlsson,Jakob,C,BOS
8476887,Forsberg,Filip,LW/C/RW,NSH
8478055,Forsling,Gustav,D,CHI
8475764,Fowler,Cam,D,ANA
8471742,Franson,Cody,D,BUF
8476924,Frk,Martin,RW,CAR
8475278,Froese,Byron,C,T.B/TOR
8473564,Frolik,Michael,RW/C,CGY
8468483,Gaborik,Marian,RW,L.A
8476545,Gabriel,Kurtis,RW,MIN
8474040,Gagner,Sam,C/RW,CBJ
8476851,Galchenyuk,Alex,C/LW,MTL
8475848,Gallagher,Brendan,RW,MTL
8476116,Garbutt,Ryan,C/LW,ANA
8474581,Gardiner,Jake,D,TOR
8474520,Garrison,Jason,D,T.B
8477715,Gaudet,Tyler,C,ARI
8477919,Gaudreau,Frederick,C,NSH
8476346,Gaudreau,Johnny,LW,CGY
8476867,Gaunce,Brendan,C/LW,VAN
8474611,Gaunce,Cameron,D,PIT
8477512,Gauthier,Frederik,C,TOR
8473989,Gazdic,Luke,LW,N.J
8475199,Gelinas,Eric,D,COL
8470612,Getzlaf,Ryan,C,ANA
8470104,Gilbert,Tom,D,L.A
8467407,Gionta,Brian,RW,BUF
8472410,Gionta,Stephen,RW/C,NYI
8470966,Giordano,Mark,D,CGY
8471958,Girardi,Dan,D,NYR
8476878,Girgensons,Zemgus,C/LW,BUF
8473512,Giroux,Claude,C/RW,PHI
8470854,Glass,Tanner,LW,NYR
8476822,Glendening,Luke,C/RW/LW,DET
8477958,Goldobin,Nikolay,RW/LW,S.J/VAN
8471274,Goligoski,Alex,D,ARI
8474597,Goloubef,Cody,D,COL
8476624,Goodrow,Barclay,RW/C,S.J
8470159,Gordon,Boyd,C/RW,PHI
8470324,Gorges,Josh,D,BUF
8476906,Gostisbehere,Shayne,D,PHI
8476826,Gourde,Yanni,C,T.B
8473546,Grabner,Michael,RW,NYR
8475774,Granberg,Petter,D,NSH
8476440,Granlund,Markus,C,VAN
8475798,Granlund,Mikael,C,MIN
8474683,Grant,Derek,C,BUF/NSH
8476344,Graovac,Tyler,C,MIN
8475857,Gravel,Kevin,D,L.A
8471242,Green,Mike,D,DET
8472382,Greene,Andy,D,N.J
8470121,Greene,Matt,D,L.A
8478421,Greer,A.J.,LW,COL
8476414,Grenier,Alex,RW,VAN
8476495,Griffith,Seth,C/RW,FLA/TOR
8476888,Grigorenko,Mikhail,C,COL
8476428,Grimaldi,Rocco,C,COL
8471269,Grossmann,Nicklas,D,CGY
8473468,Gryba,Eric,D,EDM
8476891,Grzelcyk,Matt,D,BOS
8475462,Gudas,Radko,D,PHI
8475790,Gudbranson,Erik,D,VAN
8477404,Guentzel,Jake,C/LW,PIT
8478425,Guhle,Brendan,D,BUF
8474125,Gunnarsson,Carl,D,STL
8478495,Gurianov,Denis,RW,DAL
8474176,Hagelin,Carl,LW,PIT
8477462,Hagg,Robert,D,PHI
8468493,Hainsey,Ron,D,CAR/PIT
8474230,Haley,Micheal,C,S.J
8475791,Hall,Taylor,LW/C,N.J
8469465,Hamhuis,Dan,D,DAL
8476462,Hamilton,Dougie,D,CGY
8475878,Hamilton,Freddie,C,CGY
8474612,Hamonic,Travis,D,NYI
8478396,Hanifin,Noah,D,CAR
8477810,Hanley,Joel,D,MTL
8478541,Hannikainen,Markus,LW,CBJ
8471498,Hansen,Jannik,RW,S.J/VAN
8471691,Hanzal,Martin,C,ARI/MIN
8475597,Harper,Shane,RW,FLA
8477433,Harpur,Ben,D,OTT
8476449,Harrington,Scott,D,CBJ
8477451,Hartman,Ryan,LW/RW,CHI
8468486,Hartnell,Scott,LW,CBJ
8477903,Hathaway,Garnet,RW,CGY
8475287,Haula,Erik,C/LW,MIN
8477401,Hayden,John,LW/RW/C,CHI
8474625,Hayes,Jimmy,RW,BOS
8475763,Hayes,Kevin,C/RW,NYR
8475167,Hedman,Victor,D,T.B
8475841,Heed,Tim,D,S.J
8478046,Heinen,Danton,C,BOS
